ylogistic,xdpend,ydpend,xlorenz,ylorenz,zlorenz
5.247733083335452964e-01,-2.527767137531887198e-01,1.416219530038567709e-01,-5.194809802494976952e-02,2.934004751501456676e-01,1.694944693914479217e+01
9.476678761380020743e-01,-2.414666404715009318e-01,1.366512974187633900e-01,-1.741324070744022789e-02,2.847259182622920437e-01,1.649725277331136297e+01
1.884551961615436311e-01,-2.306386292114983028e-01,1.304318930432161461e-01,1.280067518953299788e-02,2.798756580171174457e-01,1.605722146183764565e+01
5.811713737647794531e-01,-2.203721992180886213e-01,1.229863311639918938e-01,3.950817347229144960e-02,2.786056577262217004e-01,1.562901119142435213e+01
9.249625907083262044e-01,-2.107500001307673620e-01,1.143454181658688090e-01,6.341792189768447052e-02,2.807071528676893246e-01,1.521229553495562214e+01
2.637458266941769547e-01,-2.018572247299132982e-01,1.045499093937616725e-01,8.514684499468495871e-02,2.860097777691609777e-01,1.480676163168132220e+01
7.378990692632120263e-01,-1.937805753969576161e-01,9.365229922140476393e-02,1.052331382721325564e-01,2.943833062147209745e-01,1.441210882726652898e+01
7.349353248060502830e-01,-1.866067069498292819e-01,8.171852365631206150e-02,1.241481550663914024e-01,3.057384374586432640e-01,1.402804767363500993e+01
7.402604940014474444e-01,-1.804201005467588326e-01,6.882937409299531850e-02,1.423071833056165914e-01,3.200269741239947230e-01,1.365429921080859721e+01
7.306446010842856387e-01,-1.753003804938418342e-01,5.508137129541765264e-02,1.600791623874543990e-01,3.372416671013046541e-01,1.329059447222902612e+01
7.478516583645486993e-01,-1.713191736343883387e-01,4.058682400471321644e-02,1.777954128588394300e-01,3.574159435913212834e-01,1.293667417129059594e+01
7.165643106945834839e-01,-1.685367178134526134e-01,2.547282013583166901e-02,1.957574659320876209e-01,3.806236865028341798e-01,1.259228854029480793e+01
7.717796174668435372e-01,-1.669985329011982045e-01,9.878988258679857054e-03,2.142440879891622796e-01,4.069791951494525772e-01,1.225719730420857978e+01
